Wall time,Step,Value
1556175019.9815834,378700,6.795726221753284e-07
1556175071.846124,379900,4.385636884762789e-07
1556175109.7809267,380800,6.338160005725513e-07
1556175148.3752928,381700,5.879459763491468e-07
1556175200.309031,382900,5.145188879396301e-07
1556175238.4043455,383800,6.64447156850656e-07
1556175251.3489602,384100,5.317459681464243e-07
1556175264.6586764,384400,4.146747301092546e-07
1556175342.0618145,386200,8.055152420638478e-07
1556175458.0676606,388900,5.128268867338193e-07
1556175535.9456215,390700,4.5775789203617023e-07
1556175600.1312704,392200,4.019748871542106e-07
1556175625.8607101,392800,4.597495433245058e-07
1556175638.9747207,393100,3.856829096093861e-07
1556175677.1654897,394000,4.7288017412938643e-07
1556175690.1449487,394300,4.171002672137547e-07
1556175715.84675,394900,5.53301674699469e-07
1556175729.0420537,395200,4.28619358672222e-07
1556175780.5950603,396400,4.937875814903236e-07
1556175793.4621015,396700,4.1385598592569295e-07
1556175832.5101016,397600,4.875246304436587e-07
1556175858.300794,398200,3.815849254351633e-07
1556175871.3463323,398500,4.3541888317122357e-07
1556175910.0813105,399400,5.435496746031276e-07
1556175923.0771003,399700,4.852247457165504e-07
1556175962.206223,400600,4.3864383769687265e-07
1556175975.352589,400900,4.473648118619167e-07
1556176014.078243,401800,5.73305840134708e-07
1556176053.0415967,402700,4.694599624599505e-07
1556176078.7596831,403300,4.824081543119974e-07
1556176142.944838,404800,4.1532990735504427e-07
1556176195.1513417,406000,4.78549509352888e-07
1556176414.69704,411100,4.1106346770902746e-07
1556176453.7306418,412000,5.510760274773929e-07
1556176485.07805,412600,4.61308047761122e-07
1556176495.2284455,412900,4.786851377502899e-07
1556176598.977736,415300,4.3195868215661903e-07
1556176677.0957985,417100,4.782224323207629e-07
1556176831.9548242,420700,3.968949044974579e-07
1556176909.7429655,422500,3.8892625298103667e-07
1556176960.8378422,423700,6.664740226369759e-07
1556176973.8214273,424000,3.9370669924210233e-07
1556176986.801767,424300,3.709060365508776e-07
1556177012.5386255,424900,5.471034683068865e-07
1556177026.4835637,425200,4.3804527649626834e-07
1556177051.9889262,425800,4.575360321723565e-07
1556177091.1391914,426700,4.7465931629631086e-07
1556177104.0533211,427000,8.283588499580219e-07
1556177129.951122,427600,4.4319352809907286e-07
1556177181.6894913,428800,5.248765546639333e-07
1556177246.3839011,430300,4.287105070943653e-07
1556177362.6178493,433000,4.5862790898354433e-07
1556177375.3989475,433300,4.1601910538702214e-07
1556177400.6997507,433900,4.2199653194074926e-07
1556177556.2788498,437500,5.761801276094047e-07
1556177582.364826,438100,3.9309685462285415e-07
1556177608.5551233,438700,7.93526339748496e-07
1556177633.7559893,439300,5.966870730844676e-07
1556177672.6742184,440200,5.241246299192426e-07
1556177711.9790928,441100,6.010093898112245e-07
1556177725.0734763,441400,7.286234335879271e-07
1556177814.8654017,443500,3.866012434627919e-07
1556177827.6642642,443800,1.024272819449834e-06
1556177840.6424184,444100,9.227899226971203e-07
1556177917.5558918,445900,3.9678008079135907e-07
1556177968.8657022,447100,3.6967429650758277e-07
1556177994.826069,447700,4.4613432237383677e-07
1556178073.1568868,449500,5.082063125882996e-07
1556178098.3657146,450100,5.376392095968185e-07
1556178150.0215352,451300,6.044313067832263e-07
1556178189.0988743,452200,6.741947800037451e-07
1556178240.3533442,453400,6.48819650450605e-07
1556178320.0486987,455200,3.390648259937734e-07
1556178358.8161154,456100,9.199499686474155e-07
1556178384.8119516,456700,4.707480343313364e-07
1556178461.8458729,458500,4.830250190934748e-07
1556178488.1326091,459100,5.572860573010985e-07
1556178500.8204904,459400,1.140055474024848e-06
1556178513.876069,459700,6.728357675456209e-07
1556178629.7666903,462400,4.56301080475896e-07
1556178655.112605,463000,4.4023326495334913e-07
1556178668.0316615,463300,3.4239377555422834e-07
1556178681.1593516,463600,4.1891811974892335e-07
1556178707.1691816,464200,3.535498649398505e-07
1556178733.0343492,464800,3.894927829151129e-07
1556178746.7863564,465100,9.997938832384534e-07
1556178797.719398,466300,3.5697769362741383e-07
1556178849.4567413,467500,2.40655481320573e-07
1556178887.7464154,468400,3.396614829398459e-07
1556178900.5474625,468700,3.465676172709209e-07
1556179053.5895185,472300,3.6178164464217843e-07
1556179066.2742255,472600,3.8625634601885395e-07
1556179091.6747591,473200,3.8294180626508023e-07
1556179104.437668,473500,2.3290780859497318e-07
1556179182.4061308,475300,4.904763954982627e-07
1556179195.2676704,475600,3.545670779203647e-07
1556179208.3290434,475900,2.891145527428307e-07
1556179325.8497868,478600,3.93236376794448e-07
1556179351.1546707,479200,2.6895426685769053e-07
1556179377.1590466,479800,2.9219233965704916e-07
1556179402.9607646,480400,2.705884583065199e-07
1556179416.0375638,480700,3.01435704841424e-07
1556179441.9290977,481300,5.329035275281058e-07
1556179493.460564,482500,3.425343493290711e-07
1556179570.9708092,484300,3.15327213229466e-07
1556179583.8795576,484600,3.8264690260803036e-07
1556179609.8307676,485200,3.629338323207776e-07
1556179636.039648,485800,3.0622743452113355e-07
1556179649.1730835,486100,3.2431407248623145e-07
1556179675.0302205,486700,3.4182215813416406e-07
1556179687.3476517,487000,4.667328710183938e-07
1556179713.2354302,487600,3.698513069139153e-07
1556179726.2503016,487900,3.620387758473953e-07
1556179752.3455663,488500,3.562721531125135e-07
1556179791.6785877,489400,3.384747628842888e-07
1556179804.0161736,489700,2.912201750859822e-07
1556179829.9645953,490300,3.0587978017138084e-07
1556179882.1378877,491500,3.4568753903840843e-07
1556179920.5178807,492400,3.576309950403811e-07
1556179933.584235,492700,2.5719998575368663e-07
1556179946.6880305,493000,2.7266861479802174e-07
1556179999.0792315,494200,3.76437412796804e-07
1556180012.199475,494500,3.701346145135176e-07
1556180064.295701,495700,4.821044967684429e-07
1556180119.96463,496900,3.419111180846812e-07
1556180132.885016,497200,2.9472329288182664e-07
1556180199.1323721,498700,3.46939003748048e-07
1556180212.4634516,499000,5.356394012778765e-07
1556180316.5886657,501400,3.624133455559786e-07
1556180330.0544138,501700,4.5187650243860844e-07
1556180381.8481328,502900,3.9296719478443265e-07
1556180421.2544687,503800,4.658236036902963e-07
1556180486.6007736,505300,8.52421862873598e-07
1556180512.4763544,505900,4.697305371337279e-07
1556180538.6124535,506500,5.478108278111904e-07
1556180551.7835112,506800,3.588244794627826e-07
1556180604.0585573,508000,3.818601896909968e-07
1556180695.011178,510100,9.70442897596513e-07
1556180786.9102912,512200,3.856913224353775e-07
1556180928.8562453,515500,7.861050903557043e-07
1556180941.8256235,515800,9.26212692320405e-07
1556180954.8881433,516100,4.075952233506541e-07
1556180980.4803994,516700,5.22111122336355e-07
1556181192.1166847,521500,5.963903504380141e-07
1556181204.6660917,521800,4.342873580753803e-07
1556181217.8159165,522100,2.9738095008724486e-07
1556181230.9046524,522400,4.845176704293408e-07
1556181244.0767014,522700,3.4129911341551633e-07
1556181257.197926,523000,3.750673727154208e-07
1556181308.9157753,524200,6.146194664324867e-07
1556181334.5941894,524800,5.901412123421323e-07
1556181347.623328,525100,4.1458736177446553e-07
1556181449.5082092,527200,6.752189847247791e-07
1556181501.3331208,528400,3.113260049758537e-07
1556181514.317117,528700,2.7969750249212666e-07
1556181527.4289732,529000,2.8367713866828126e-07
1556181553.0171463,529600,2.520711746001325e-07
1556181579.0603528,530200,3.659150138446421e-07
1556181592.1098483,530500,3.72405054349656e-07
1556181657.2900808,532000,3.154629268919962e-07
1556181669.8943722,532300,2.896842943300726e-07
1556181682.8912823,532600,3.443877574227372e-07
1556181721.715667,533500,4.2560969859550823e-07
1556181747.9335704,534100,3.1332342587120365e-07
1556181774.06691,534700,3.0219518976082327e-07
1556181786.5109735,535000,3.4874324228439946e-07
1556181812.8004732,535600,3.887533637225715e-07
1556181838.8919435,536200,9.404193406226113e-07
1556181851.9853625,536500,4.12729434629e-07
1556181885.7699056,537100,3.1941254974299227e-07
1556181906.7986536,537700,1.0805264309965423e-06
1556181945.8359523,538600,4.645945352876879e-07
1556181999.0739367,539800,5.577652473220951e-07
1556182024.5441685,540400,5.701134568880661e-07
1556182050.4749477,541000,4.302781633214181e-07
1556182153.872791,543400,3.593538338009239e-07
1556182192.615803,544300,4.114037608360377e-07
1556182218.7455785,544900,5.464274863697938e-07
1556182231.6691568,545200,8.22841172976041e-07
1556182269.9283972,546100,4.679148730701854e-07
1556182295.854537,546700,4.259235879544576e-07
1556182308.7729023,547000,5.019990112486994e-07
1556182321.8036163,547300,5.077522473584395e-07
1556182347.5786242,547900,4.921221261611208e-07
1556182488.2617342,551200,5.34291132225917e-07
1556182591.741905,553600,5.293572939990554e-07
1556182617.5007083,554200,3.891693438617949e-07
1556182656.3169281,555100,6.111662287366926e-07
1556182682.4224615,555700,6.952616331545869e-07
1556182785.2626622,558100,1.2437474197213305e-06
1556182850.0266416,559600,6.465731985372258e-07
1556182863.2558997,559900,7.067185379128205e-07
1556182902.4677973,560800,4.585475039675657e-07
1556182928.4474316,561400,3.995784254584578e-07
